model_id,autoencoder,embedding,pretext_loss,cluster_loss,metric,embedding_dim,n_clusters,dim_reduction,reduced_dim,run_1_train_SC,run_1_train_DBI,run_1_test_SC,run_1_test_DBI,run_1_train_time,run_2_train_SC,run_2_train_DBI,run_2_test_SC,run_2_test_DBI,run_2_train_time,run_3_train_SC,run_3_train_DBI,run_3_test_SC,run_3_test_DBI,run_3_train_time,run_4_train_SC,run_4_train_DBI,run_4_test_SC,run_4_test_DBI,run_4_train_time,run_5_train_SC,run_5_train_DBI,run_5_test_SC,run_5_test_DBI,run_5_train_time
63628dd44b68c3e97c1f7c7b,fcnn,mse,mse,dtc,eucl,10,6,PCA,5.0,-1.0,-1.0,-1.0,-1.0,35.871068477630615,-1.0,-1.0,-1.0,-1.0,35.39853835105896,-1.0,-1.0,-1.0,-1.0,35.96379041671753,-1.0,-1.0,-1.0,-1.0,35.08791518211365,-1.0,-1.0,-1.0,-1.0,35.85961556434631
63628dd44b68c3e97c1f7c7c,fcnn,mse,mse,dtc,eucl,10,6,UMAP,5.0,-1.0,-1.0,-1.0,-1.0,36.581156492233276,0.282019704580307,0.6883434195460514,-1.0,-1.0,35.88846707344055,-1.0,-1.0,-1.0,-1.0,36.0128116607666,-1.0,-1.0,-1.0,-1.0,34.786046504974365,-1.0,-1.0,-1.0,-1.0,35.6788215637207
63628dd44b68c3e97c1f7c7d,fcnn,mse,mse,dtc,cid,10,2,None,5.0,0.30002495646476746,0.520280414777365,0.262747198343277,0.5358212408648061,55.37620282173157,0.17589843273162842,0.6638002776046068,0.140745609998703,0.6755309198819575,49.099942207336426,0.3449201285839081,0.5404920916087153,0.2834778130054474,0.5779173322332801,49.43593978881836,-1.0,-1.0,-1.0,-1.0,49.40866708755493,0.10218872129917145,0.7615342113958969,0.09602021425962448,0.7716783854541623,49.04344415664673
63628dd44b68c3e97c1f7c7e,fcnn,mse,mse,dtc,cid,10,2,PCA,5.0,0.1972872018814087,0.6459052132804215,0.17393021285533905,0.6562629923540461,55.74400734901428,0.31114035844802856,0.8343724907671256,0.3141242563724518,0.8474775056329052,48.722949743270874,0.5594154000282288,0.44890465747544395,0.5367943644523621,0.47851216477833725,48.50552749633789,0.25156858563423157,0.8466314644823686,0.21870361268520355,0.890015491761172,48.61913561820984,0.09979208558797836,0.9850363834607008,0.08858717232942581,0.9980041818955413,48.31924057006836
63628dd44b68c3e97c1f7c7f,fcnn,mse,mse,dtc,cid,10,2,UMAP,5.0,0.43566638231277466,0.6906497882485849,0.4552491307258606,0.6742076261809219,55.532861948013306,0.03380516171455383,0.8032794946566056,0.015207960270345211,0.8176693035670268,49.05317282676697,0.5465090274810791,0.45525544722434186,0.5309630036354065,0.47605170952217024,48.522244691848755,0.13435930013656616,0.6993645468412285,0.12225702404975891,0.7034718662025121,49.36150598526001,0.13286298513412476,1.0842582302813635,0.13171488046646118,1.080583305669528,48.54933547973633
63628dd44b68c3e97c1f7c80,fcnn,mse,mse,dtc,cid,10,4,None,5.0,0.4661336839199066,0.5576874043113911,0.4591274857521057,0.5469218039391086,56.96989989280701,0.29558247327804565,0.7198116137229522,0.2604770362377167,0.6688676999965122,49.86244511604309,0.5784248113632202,0.4989730385256191,0.565304696559906,0.493102664929159,49.95431303977966,0.12204524874687195,1.0928600007575349,0.14253488183021545,1.0505745920114804,50.51134181022644,0.42683616280555725,0.9346946526620373,0.41917529702186584,0.9702783877408219,49.68392372131348
63628dd44b68c3e97c1f7c81,fcnn,mse,mse,dtc,cid,10,4,PCA,5.0,0.3795211613178253,0.9942410079180839,0.4048159718513489,0.8445963218715842,57.235145807266235,0.5788208842277527,0.4889300376798409,0.5376025438308716,0.5055627365945492,50.06202435493469,0.49735113978385925,0.5198372130344411,0.4934806823730469,0.511529607055751,50.39023303985596,0.15103185176849365,1.1422660611342388,0.14127913117408752,1.0780163996398437,50.20071887969971,0.3283325433731079,0.918600384263389,0.3600313067436218,0.866439461328244,49.77321147918701
63628dd44b68c3e97c1f7c82,fcnn,mse,mse,dtc,cid,10,4,UMAP,5.0,0.37729978561401367,0.6272191983278605,0.40497082471847534,0.5944669293351271,57.206655502319336,0.2958489656448364,1.3987366061882707,0.29420188069343567,1.5122638694324564,50.38449454307556,0.21276964247226715,1.2325014237174334,0.14088229835033417,1.0374674829637696,50.097612619400024,0.4091123640537262,0.5155632180678711,0.3790712058544159,0.4833081270333349,50.17678451538086,0.5928688049316406,0.5043916209797814,0.6016057729721069,0.48934757414939023,50.9852180480957
63628dd44b68c3e97c1f7c83,fcnn,mse,mse,dtc,cid,10,6,None,5.0,0.5519514679908752,0.4773261282479264,-1.0,-1.0,58.97448468208313,0.5541208386421204,0.4650791667714534,-1.0,-1.0,51.36014461517334,-1.0,-1.0,-1.0,-1.0,52.17598795890808,-0.0005910104373469949,1.423929218632427,-1.0,-1.0,51.51998519897461,0.4052704870700836,0.5839603587726864,-1.0,-1.0,51.23738932609558
63628dd44b68c3e97c1f7c84,fcnn,mse,mse,dtc,cid,10,6,PCA,5.0,0.1717923879623413,1.0428089175518023,0.13999511301517487,0.9884230539966042,58.735830783843994,0.13588029146194458,1.220022889895577,0.11786679178476334,1.1698247914396183,51.69807291030884,0.38353127241134644,0.9782419012705185,-1.0,-1.0,52.541804790496826,0.34592553973197937,0.9338227611422082,-1.0,-1.0,51.487444162368774,0.44941097497940063,0.8247328092209923,0.443838894367218,0.7388665406441765,51.6985445022583
